Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,15575,0,0,0,,,0,,,7,0,2,11,0
2002,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,16481,0,0,0,,,0,,,9,0,0,21,0
2003,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,16643,0,0,0,,,0,,,7,1,4,19,0
2004,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,16841,0,0,0,,,0,,,1,1,6,9,0
2005,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,17135,0,0,0,,,0,,,5,1,3,4,1
2006,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,17936,0,0,0,,,0,,,4,3,0,4,1
2007,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,18742,0,0,0,,,0,,,5,2,0,19,0
2008,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,19413,0,0,0,,,0,,,11,2,0,33,0
2009,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,20291,0,0,0,,,0,,,4,2,0,9,0
2010,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,20720,0,0,0,,,0,,,3,0,0,1,0
2011,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,20941,0,0,1,,,0,,,8,2,0,2,0
2012,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,21557,0,0,0,,,0,,,1,0,0,3,0
2013,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,21471,0,0,1,,,0,,,5,1,0,4,0
2014,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,23109,0,0,,0,0,,0,0,6,4,0,3,0
2015,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,25034,0,0,,0,0,,0,0,1,1,0,3,0
2016,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,26839,0,0,,0,1,,0,0,5,1,0,0,0
