Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,26710,0,0,9,,,0,,,8,4,30,2,1
2002,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,27190,0,0,7,,,0,,,2,3,61,11,0
2003,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,26795,0,0,3,,,0,,,2,2,39,4,3
2004,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,26731,0,0,6,,,0,,,6,6,38,4,4
2005,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,26559,0,0,5,,,0,,,3,2,26,7,1
2006,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,26860,0,0,7,,,0,,,5,4,32,5,0
2007,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,27020,0,0,4,,,0,,,3,3,26,0,0
2008,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,27562,0,0,7,,,0,,,1,5,34,0,0
2009,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,28328,0,0,4,,,0,,,7,2,16,0,0
2010,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,28823,0,0,7,,,0,,,2,2,46,0,0
2011,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,28766,0,0,4,,,0,,,5,3,25,2,0
2012,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,28769,0,0,6,,,0,,,1,5,14,0,5
2013,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,28649,0,0,17,,,0,,,1,2,23,1,0
2014,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,28617,0,0,,20,7,,0,0,1,2,6,0,2
2015,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,28649,0,0,,13,8,,0,0,1,2,9,1,2
2016,215293,University of Pittsburgh-Pittsburgh Campus,1,Main Campus,28664,0,0,,13,9,,0,0,0,3,6,0,0
