Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,147767,Northwestern University,1,Main Campus,21554,0,0,0
2014,147767,Northwestern University,2,Chicago Campus,21554,3,0,0
2014,147767,Northwestern University,3,Kellogg's Miami Campus,21554,0,0,0
2014,147767,Northwestern University,4,Medill's Washington D.C. Campus,21554,0,0,0
2014,147767,Northwestern University,5,Education City- Qatar,21554,0,0,0
2015,147767,Northwestern University,1,Main Campus,21655,0,0,0
2015,147767,Northwestern University,2,Chicago Campus,21655,3,1,0
2015,147767,Northwestern University,3,Kellogg's Miami Campus,21655,0,0,0
2015,147767,Northwestern University,4,Medill's Washington D.C. Campus,21655,0,0,0
2015,147767,Northwestern University,5,Education City- Qatar,21655,0,0,0
2016,147767,Northwestern University,1,Main Campus,21823,1,0,0
2016,147767,Northwestern University,2,Chicago Campus,21823,3,3,0
2016,147767,Northwestern University,3,Kellogg's Miami Campus,21823,0,0,0
2016,147767,Northwestern University,4,Medill's Washington D.C. Campus,21823,0,0,0
2016,147767,Northwestern University,5,Education City- Qatar,21823,0,0,0
