Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,127060,University of Denver,1,University Park Campus,9385,0,0,1,,,0,,,1,3,0,6,0
2002,127060,University of Denver,1,University Park Campus,9229,0,0,0,,,0,,,1,1,0,9,0
2003,127060,University of Denver,1,University Park Campus,9521,0,0,0,,,0,,,1,3,0,12,1
2004,127060,University of Denver,1,University Park Campus,9808,0,0,4,,,0,,,1,2,0,30,0
2005,127060,University of Denver,1,University Park Campus,10374,0,0,1,,,0,,,2,2,0,19,2
2006,127060,University of Denver,1,University Park Campus,10791,0,0,1,,,0,,,2,5,0,18,0
2007,127060,University of Denver,1,University Park Campus,11053,0,0,3,,,0,,,5,0,0,13,0
2008,127060,University of Denver,1,University Park Campus,11328,0,0,1,,,0,,,3,0,0,7,0
2009,127060,University of Denver,1,University Park Campus,11644,0,0,0,,,0,,,3,1,0,7,1
2010,127060,University of Denver,1,University Park Campus,11842,0,0,0,,,0,,,1,1,0,6,0
2011,127060,University of Denver,1,University Park Campus,11797,0,0,4,,,0,,,2,2,0,6,0
2012,127060,University of Denver,1,University Park Campus,11656,0,0,2,,,0,,,1,0,0,5,0
2013,127060,University of Denver,1,University Park Campus,11778,0,0,4,,,0,,,3,1,0,3,0
2014,127060,University of Denver,1,University Park Campus,11809,0,0,,0,1,,0,0,5,3,0,4,0
2015,127060,University of Denver,1,University Park Campus,11797,0,0,,0,2,,0,0,0,1,0,6,0
2016,127060,University of Denver,1,University Park Campus,11614,0,0,,0,1,,0,0,1,1,0,3,0
