Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,230764,University of Utah,1,Main Campus,27668,0,0,0,,,0,,,0,0,0,0,0
2002,230764,University of Utah,1,Main Campus,28369,0,0,0,,,0,,,0,0,0,0,0
2003,230764,University of Utah,1,Main Campus,28436,0,0,2,,,0,,,0,2,4,6,0
2004,230764,University of Utah,1,Main Campus,28933,0,0,0,,,0,,,0,2,3,0,1
2005,230764,University of Utah,1,Main Campus,30558,0,0,0,,,0,,,1,3,20,5,0
2006,230764,University of Utah,1,Main Campus,30511,0,0,1,,,0,,,0,0,1,0,0
2007,230764,University of Utah,1,Main Campus,28025,1,0,1,,,0,,,1,0,6,0,0
2008,230764,University of Utah,1,Main Campus,28211,0,0,1,,,0,,,0,0,3,0,0
2009,230764,University of Utah,1,Main Campus,29284,0,0,1,,,0,,,0,2,4,0,0
2010,230764,University of Utah,1,Main Campus,30819,0,0,2,,,0,,,0,2,6,0,0
2011,230764,University of Utah,1,Main Campus,31660,0,0,0,,,0,,,0,0,8,0,0
2012,230764,University of Utah,1,Main Campus,32388,0,0,0,,,0,,,0,0,8,0,0
2013,230764,University of Utah,1,Main Campus,32077,0,0,3,,,0,,,0,0,5,0,0
2014,230764,University of Utah,1,Main Campus,31515,0,0,,4,1,,0,0,0,0,6,0,0
2015,230764,University of Utah,1,Main Campus,31592,0,0,,9,1,,0,0,0,0,1,3,2
2016,230764,University of Utah,1,Main Campus,31860,0,0,,1,2,,0,0,0,0,3,0,1
