Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,240444,University of Wisconsin-Madison,1,Main Campus,40922,0,0,4,,,0,,,2,1,12,12,0
2002,240444,University of Wisconsin-Madison,1,Main Campus,40884,0,0,3,,,0,,,0,0,13,17,2
2003,240444,University of Wisconsin-Madison,1,Main Campus,40879,0,0,1,,,0,,,0,0,12,7,6
2004,240444,University of Wisconsin-Madison,1,Main Campus,40455,0,0,4,,,0,,,3,1,7,5,0
2005,240444,University of Wisconsin-Madison,1,Main Campus,40793,0,0,1,,,0,,,1,5,11,6,0
2006,240444,University of Wisconsin-Madison,1,Main Campus,41028,0,0,0,,,0,,,0,0,12,3,5
2007,240444,University of Wisconsin-Madison,1,Main Campus,41563,0,0,0,,,0,,,0,0,11,1,0
2008,240444,University of Wisconsin-Madison,1,Main Campus,41620,0,0,0,,,0,,,0,0,7,1,0
2009,240444,University of Wisconsin-Madison,1,Main Campus,41654,0,0,0,,,0,,,0,0,0,0,0
2010,240444,University of Wisconsin-Madison,1,Main Campus,42180,0,0,0,,,0,,,0,0,0,0,0
2011,240444,University of Wisconsin-Madison,1,Main Campus,41946,0,0,0,,,0,,,0,0,0,0,0
2012,240444,University of Wisconsin-Madison,1,Main Campus,42269,0,0,8,,,0,,,0,0,1,0,0
2013,240444,University of Wisconsin-Madison,1,Main Campus,42677,0,0,3,,,0,,,0,3,3,4,0
2014,240444,University of Wisconsin-Madison,1,Main Campus,42598,0,0,,4,0,,0,0,5,12,17,0,1
2015,240444,University of Wisconsin-Madison,1,Main Campus,42716,0,0,,1,0,,0,0,1,1,4,0,0
2016,240444,University of Wisconsin-Madison,1,Main Campus,42582,0,0,,0,2,,0,0,0,1,3,0,0
