Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,163286,University of Maryland-College Park,1,Main Campus,34160,0,0,0,,,0,,,0,3,0,2,0
2002,163286,University of Maryland-College Park,1,Main Campus,34801,0,0,1,,,0,,,2,1,0,1,0
2003,163286,University of Maryland-College Park,1,Main Campus,35329,0,0,1,,,0,,,0,2,0,0,0
2004,163286,University of Maryland-College Park,1,Main Campus,34933,0,0,0,,,0,,,2,2,0,5,0
2005,163286,University of Maryland-College Park,1,Main Campus,35369,0,0,0,,,0,,,0,1,0,3,0
2006,163286,University of Maryland-College Park,1,Main Campus,35102,0,0,0,,,0,,,2,2,0,2,0
2007,163286,University of Maryland-College Park,1,Main Campus,36014,0,0,0,,,0,,,0,0,0,1,0
2008,163286,University of Maryland-College Park,1,Main Campus,37000,0,0,0,,,0,,,0,1,0,1,0
2009,163286,University of Maryland-College Park,1,Main Campus,37195,0,0,0,,,0,,,2,1,0,1,0
2010,163286,University of Maryland-College Park,1,Main Campus,37641,0,0,1,,,0,,,1,4,0,0,0
2011,163286,University of Maryland-College Park,1,Main Campus,37631,0,0,1,,,0,,,4,0,0,1,0
2012,163286,University of Maryland-College Park,1,Main Campus,37248,0,0,0,,,0,,,2,2,0,2,0
2013,163286,University of Maryland-College Park,1,Main Campus,37272,0,0,1,,,0,,,0,0,0,1,0
2014,163286,University of Maryland-College Park,1,Main Campus,37610,0,0,,0,1,,0,0,1,0,0,0,0
2015,163286,University of Maryland-College Park,1,Main Campus,38140,0,0,,0,0,,0,0,0,0,0,0,0
2016,163286,University of Maryland-College Park,1,Main Campus,39083,0,0,,0,1,,0,0,0,0,0,0,1
