Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,190415,Cornell University,1,Endowed and Contract College Campuses,12438,0,0,4,,,0,,,3,3,53,3,1
2002,190415,Cornell University,1,Endowed and Contract College Campuses,12566,0,0,0,,,0,,,2,2,82,0,0
2003,190415,Cornell University,1,Endowed and Contract College Campuses,19620,0,0,10,,,0,,,2,16,68,1,1
2004,190415,Cornell University,1,Endowed and Contract College Campuses,19518,0,0,8,,,0,,,2,2,38,2,1
2005,190415,Cornell University,1,Endowed and Contract College Campuses,19642,0,0,5,,,0,,,0,1,74,7,2
2006,190415,Cornell University,1,Endowed and Contract College Campuses,19639,0,0,4,,,0,,,0,3,24,6,3
2007,190415,Cornell University,1,Endowed and Contract College Campuses,19800,0,0,0,,,0,,,1,1,36,3,2
2008,190415,Cornell University,1,Endowed and Contract College Campuses,20273,0,0,1,,,1,,,2,0,29,2,2
2009,190415,Cornell University,1,Endowed and Contract College Campuses,20633,0,0,8,,,0,,,0,1,18,0,1
2010,190415,Cornell University,1,Endowed and Contract College Campuses,20939,0,0,3,,,0,,,1,1,13,2,4
2011,190415,Cornell University,1,Endowed and Contract College Campuses,21131,0,0,7,,,0,,,0,0,13,0,2
2012,190415,Cornell University,1,Endowed and Contract College Campuses,21424,0,0,9,,,1,,,0,0,15,0,0
2013,190415,Cornell University,1,Endowed and Contract College Campuses,21593,0,0,11,,,0,,,1,2,14,0,1
2013,190415,Cornell University,2,Cornell Tech Campus,21593,0,0,0,,,0,,,0,0,0,0,0
2014,190415,Cornell University,1,Endowed and Contract College Campuses,21679,0,0,,12,5,,0,0,0,0,16,0,1
2014,190415,Cornell University,2,Cornell Tech Campus,21679,0,0,,0,0,,0,0,0,0,0,0,0
2015,190415,Cornell University,1,Endowed and Contract College Campuses,21904,0,0,,14,4,,0,2,0,0,20,0,1
2015,190415,Cornell University,2,Cornell Tech Campus,21904,0,0,,0,0,,0,0,0,0,0,0,0
2016,190415,Cornell University,1,Endowed and Contract College Campuses,22319,1,0,,17,3,,0,0,1,6,17,0,3
2016,190415,Cornell University,2,Cornell Tech Campus,22319,0,0,,0,0,,0,0,0,0,0,0,0
