Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,24955,0,0,3,,,0,,,1,3,38,7,0
2002,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,26138,0,0,4,,,0,,,5,7,48,7,1
2003,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,25764,0,0,2,,,0,,,2,4,50,7,0
2004,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,24865,0,0,1,,,0,,,2,3,50,2,4
2005,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,24812,0,0,2,,,0,,,3,1,19,1,1
2006,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,24644,0,0,5,,,0,,,4,6,12,1,0
2007,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,25747,0,0,1,,,0,,,6,9,22,3,0
2008,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,25835,0,0,9,,,0,,,3,34,15,6,0
2009,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,26840,0,0,4,,,0,,,7,13,12,3,0
2010,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,27850,0,0,5,,,0,,,4,19,9,4,1
2011,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,28091,1,0,9,,,0,,,6,9,14,0,0
2012,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,27875,0,0,7,,,0,,,3,49,11,1,0
2013,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,28038,0,0,4,,,0,,,6,3,18,1,0
2014,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,27969,0,0,,1,0,,0,0,0,1,14,3,0
2015,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,29048,0,0,,5,1,,0,0,1,2,28,2,0
2016,145600,University of Illinois at Chicago,1,University of Illinois at Chicago – Chicago Campus East,29120,0,0,,2,4,,0,0,5,0,10,1,4
