Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,234076,University of Virginia-Main Campus,1,Main Campus,22739,0,0,4,,,0,,,0,4,3,2,1
2002,234076,University of Virginia-Main Campus,1,Main Campus,23144,0,0,3,,,0,,,0,0,6,0,0
2003,234076,University of Virginia-Main Campus,1,Main Campus,23077,0,0,2,,,0,,,0,1,5,0,0
2004,234076,University of Virginia-Main Campus,1,Main Campus,23341,0,0,2,,,0,,,0,2,16,0,1
2005,234076,University of Virginia-Main Campus,1,Main Campus,23765,0,0,5,,,0,,,0,0,6,0,2
2006,234076,University of Virginia-Main Campus,1,Main Campus,24068,0,0,2,,,0,,,0,1,17,0,0
2007,234076,University of Virginia-Main Campus,1,Main Campus,24257,0,0,1,,,0,,,0,0,8,1,0
2008,234076,University of Virginia-Main Campus,1,Main Campus,24541,0,0,2,,,0,,,0,0,7,0,0
2009,234076,University of Virginia-Main Campus,1,Main Campus,24355,0,0,3,,,0,,,0,1,15,0,0
2011,234076,University of Virginia-Main Campus,1,Main Campus,24297,0,0,4,,,0,,,0,0,2,0,0
2012,234076,University of Virginia-Main Campus,1,Main Campus,23907,0,0,5,,,0,,,0,0,1,0,0
2013,234076,University of Virginia-Main Campus,1,Main Campus,23464,0,0,14,,,0,,,0,0,8,0,0
2014,234076,University of Virginia-Main Campus,1,Main Campus,23732,0,0,,9,1,,0,0,0,1,0,0,0
2015,234076,University of Virginia-Main Campus,1,Main Campus,23883,0,0,,0,0,,0,0,0,0,1,1,0
2016,234076,University of Virginia-Main Campus,1,Main Campus,23898,0,0,,4,2,,0,0,0,0,0,0,0
