Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,228778,The University of Texas at Austin,1,The University of Texas at Austin,50616,0,0,8,,,0,,,0,1,16,0,2
2002,228778,The University of Texas at Austin,1,The University of Texas at Austin,52261,0,0,5,,,0,,,0,2,11,2,5
2003,228778,The University of Texas at Austin,1,The University of Texas at Austin,51426,0,0,4,,,0,,,0,2,19,0,2
2004,228778,The University of Texas at Austin,1,The University of Texas at Austin,50377,0,0,5,,,0,,,0,4,24,0,1
2005,228778,The University of Texas at Austin,1,The University of Texas at Austin,49696,0,0,7,,,0,,,1,3,6,0,3
2006,228778,The University of Texas at Austin,1,The University of Texas at Austin,49697,0,0,4,,,0,,,0,2,10,0,3
2007,228778,The University of Texas at Austin,1,The University of Texas at Austin,50170,0,0,6,,,0,,,0,0,7,0,3
2008,228778,The University of Texas at Austin,1,The University of Texas at Austin,49984,0,0,1,,,0,,,2,0,9,0,0
2009,228778,The University of Texas at Austin,1,The University of Texas at Austin,50995,0,0,10,,,0,,,0,1,8,0,0
2010,228778,The University of Texas at Austin,1,The University of Texas at Austin,51195,0,0,6,,,0,,,0,4,6,0,0
2011,228778,The University of Texas at Austin,1,The University of Texas at Austin,51112,0,0,2,,,0,,,0,3,18,0,1
2012,228778,The University of Texas at Austin,1,The University of Texas at Austin,52186,0,0,4,,,0,,,0,1,8,0,1
2013,228778,The University of Texas at Austin,1,The University of Texas at Austin,52059,0,0,8,,,0,,,2,1,8,0,0
2014,228778,The University of Texas at Austin,1,The University of Texas at Austin,51313,0,0,,4,2,,0,0,0,1,25,0,0
2015,228778,The University of Texas at Austin,1,The University of Texas at Austin,50950,0,0,,9,2,,0,0,0,0,10,0,0
2016,228778,The University of Texas at Austin,1,The University of Texas at Austin,51331,0,0,,12,1,,0,1,0,6,2,0,0
